wallet,token_name,symbol,amount,decimals,mint
YWmErgPSqc6rshcibxtgeLxDhgfs88MuuuJobd8exRH,Solana,SOL,2.980574613,9,native
YWmErgPSqc6rshcibxtgeLxDhgfs88MuuuJobd8exRH,Unknown,N/A,10000.0,6,GREE1xhoGvX9wUBKNQNpu5PLWG57NtzmxSTEkKML6agV
YWmErgPSqc6rshcibxtgeLxDhgfs88MuuuJobd8exRH,Unknown,N/A,69420.0,6,3ktDq7QiBSXQ4m5orxFg45mkF36bk9DLZFL9YxsdvhDy
YWmErgPSqc6rshcibxtgeLxDhgfs88MuuuJobd8exRH,USD Coin,USDC,0.0,6,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v
YWmErgPSqc6rshcibxtgeLxDhgfs88MuuuJobd8exRH,Unknown,N/A,80904221.0,0,6kjbKVTDRuJYspGPkBUisM2msu7PjHBmhbPkA5vFYVu4
YWmErgPSqc6rshcibxtgeLxDhgfs88MuuuJobd8exRH,Unknown,N/A,100.0,6,2Pp6ebUvEL9YRTauUTmGTwYZKRfyQXGM9jE4S8WPDtEy
YWmErgPSqc6rshcibxtgeLxDhgfs88MuuuJobd8exRH,Unknown,N/A,12863655.169128,6,9qM316yBYd14UHcdShr8Hch42tHCMAjbnzkUfdPyaynV
YWmErgPSqc6rshcibxtgeLxDhgfs88MuuuJobd8exRH,Unknown,N/A,1.213816,6,FS66v5XYtJAFo14LiPz5HT93EUMAHmYipCfQhLpU4ss8
YWmErgPSqc6rshcibxtgeLxDhgfs88MuuuJobd8exRH,Unknown,N/A,60.0,6,8doS8nzmgVZEaACxALkbK5fZtw4UuoRp4Yt8NEaXfDMb
YWmErgPSqc6rshcibxtgeLxDhgfs88MuuuJobd8exRH,USDT,USDT,67.539111,6,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB
YWmErgPSqc6rshcibxtgeLxDhgfs88MuuuJobd8exRH,Unknown,N/A,0.0,5,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5
YWmErgPSqc6rshcibxtgeLxDhgfs88MuuuJobd8exRH,Unknown,N/A,3.2874,6,AMjzRn1TBQwQfNAjHFeBb7uGbbqbJB7FzXAnGgdFPk6K
YWmErgPSqc6rshcibxtgeLxDhgfs88MuuuJobd8exRH,Unknown,N/A,2672032.38686,5,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263
YWmErgPSqc6rshcibxtgeLxDhgfs88MuuuJobd8exRH,Unknown,N/A,25.000007,6,8AsPtJ9sCDQQwsJ6Jt3i9WF9zQcwQDT9dqwSkfvPsChP
YWmErgPSqc6rshcibxtgeLxDhgfs88MuuuJobd8exRH,Unknown,N/A,989.415723,6,DtR4D9FtVoTX2569gaL837ZgrB6wNjj6tkmnX9Rdk9B2
YWmErgPSqc6rshcibxtgeLxDhgfs88MuuuJobd8exRH,Unknown,N/A,0.0,6,FJTF3MdzLhvbK2bZU7nah5mBosUtGbYzXJTibZGTpump
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Solana,SOL,9.999995002,9,native
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,13285.164835154,9,4muyuPDafTjTC2GaPYrVdjLQp6FiyszCn5NaAcAFrb5i
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,4728.932574138,9,EqQGX8aFeWRrSMJMAC3UH4UUPSdrQcDAoMpSUNhoNZM5
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,119104.265734283,9,52UhPSZeHvoT45RzJYBZRYgJa8bFJQ6ucYahZCK3qXHN
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,135.344508,6,7NVGLsgtCj9VRNo3wqjWcuhbYM7ZERprhvx9edLfB4TZ
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,6804.595703633,9,7RVTjCyc6kAoxRCTVv3jba7jNrBFFDUCy8oAkXqFd4Ug
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,3557.096768974,9,3YmNY3Giya7AKNNQbqo35HPuqTrrcgT9KADQBM2hDWNe
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,118.723736259,9,6zDeWT1KG3uw6rWXymYx3rpfdW3jjWLDnFB5PB7bMYgA
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,35038.341487,6,G3WhrY8Gx8BS6nr9sZjKBiRmJSN6sY1AYcYrWPwqp2ey
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,0.0,6,2tV44KtbRfYv9NyReESkVNVxenWJQQMHuWuix1eZGQu8
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,0.0,6,5PsnNwPmMtsGZgG6ZqMoDJJi28BR5xpAotXHHiQhpump
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,29383.49408,6,C4nFvNS1GeXjNERwmc7dPtJfTLxUwvdXxzC4aY155ojr
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,25477.71663,6,7T6ihRhuurFTMeP3FpPA1arJz3v26MivUty6KmLcQijU
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,0.0,6,BU7zw2GvabhqGnrqMMH1m2KabafehanDmtnrCSZipump
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,743.518157098,9,DEdAz3ZUJn4qUT4fPtqJsD3dLGugxMRiqZSx2eQ7GFhE
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,87.206960489,9,zMhY9vL85dL5SEcLLJvfuD8J7Dg5oqBZvdGmRui3tZx
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,3686.846555209,9,CuXmQvh4DVTdWBdC2d3pNq8UXqbKJ3w9RPBTAALcKcTb
