date,txHash,direction,from,to,amount
2025-07-24 13:51:13,V7Fn7BSbKx5oAko3Y7DrmHCEQTxeF8NYRwrvvfeUzho=,out,EQBU5xsozZyIqlrE5X-imhjfLZkS5hZXdqI693I9ERbGoUPs,EQCFJEP4WZ_mpdo0_kMEmsTgvrMHG7K_tWY16pQhKHwoOoy2,-4739.6108
2025-07-24 13:50:22,jiemaA+TJwgcwDnKi9NdVp26VCRiGNlJQsluHU3lIKc=,in,EQBDUShg1UmAzyTVmGijDmeZJ_sTc8EJZNt1AO3N9pCrxPAN,EQBU5xsozZyIqlrE5X-imhjfLZkS5hZXdqI693I9ERbGoUPs,11392.029255
2025-07-22 16:52:49,Zi4pRBtx1WwkVhE68yY7AtGJLgIXxK7+pIWU4PMl1Ao=,out,EQBU5xsozZyIqlrE5X-imhjfLZkS5hZXdqI693I9ERbGoUPs,EQCFJEP4WZ_mpdo0_kMEmsTgvrMHG7K_tWY16pQhKHwoOoy2,-214.1235
2025-07-02 09:29:22,knjh6EAqOykPGIJzlTY4nF31OyXYbhB7uU6oMCrGWSs=,out,EQBU5xsozZyIqlrE5X-imhjfLZkS5hZXdqI693I9ERbGoUPs,EQDt7cxtCU4oEC8_pL839HwmfM5dzs9PHTmN8EN9U8obEVlt,-28.0
2025-07-02 06:09:20,ZuaIWosKVSsjee0ZfqI2on+Y7izCDnUlBvoL33dTe6U=,out,EQBU5xsozZyIqlrE5X-imhjfLZkS5hZXdqI693I9ERbGoUPs,EQDt7cxtCU4oEC8_pL839HwmfM5dzs9PHTmN8EN9U8obEVlt,-1845.0
2024-12-20 18:49:42,akS9zMwr+rznpvvEiQK9lMrs2Cx2O+66+BO8aeFv6gM=,out,EQBU5xsozZyIqlrE5X-imhjfLZkS5hZXdqI693I9ERbGoUPs,EQCFJEP4WZ_mpdo0_kMEmsTgvrMHG7K_tWY16pQhKHwoOoy2,-279.2427
2024-12-20 18:28:30,kSu4D/VQDFWZfuC4qyTJC3ZGRML7U2JjFZNRXQYQj3M=,out,EQBU5xsozZyIqlrE5X-imhjfLZkS5hZXdqI693I9ERbGoUPs,EQCFJEP4WZ_mpdo0_kMEmsTgvrMHG7K_tWY16pQhKHwoOoy2,-1.3922
2024-12-19 19:36:18,Cqr6ymUE6gI8UqJqvro878YEwJJMNIKsuUhr1q2f8ek=,in,EQBGfJha2FDGIS8uGTNbyBEFhZzxQcEAIRsmQxaz1bwMyx82,EQBU5xsozZyIqlrE5X-imhjfLZkS5hZXdqI693I9ERbGoUPs,1e-09
2024-12-19 19:28:27,WVYU0Kz5f7iJlygs4irWEJCTpMZWmxJuBfIAvDmkqd0=,in,EQC0Sg4yrwnwNxS4W1fSiepsHTlpHeRKnThCt58SEpoP9vMV,EQBU5xsozZyIqlrE5X-imhjfLZkS5hZXdqI693I9ERbGoUPs,1e-09
2024-12-19 19:26:52,cM3JtPrLb7RNaTGm2yTrx4QjE6x9Ef3yZxGgMpdoLqc=,out,EQBU5xsozZyIqlrE5X-imhjfLZkS5hZXdqI693I9ERbGoUPs,EQCFJEP4WZ_mpdo0_kMEmsTgvrMHG7K_tWY16pQhKHwoOoy2,-1.4307
2024-12-18 13:38:09,i+AxpVZzszTWEvkfdMkUNowm6CkAY8AW0g7Z+/wvs3Y=,out,EQBU5xsozZyIqlrE5X-imhjfLZkS5hZXdqI693I9ERbGoUPs,EQCFJEP4WZ_mpdo0_kMEmsTgvrMHG7K_tWY16pQhKHwoOoy2,-263.182
2024-11-07 06:53:58,QaK635aHBeymrGDHysDJNS19DKOtFkbv0hPDsfy2+iM=,out,EQBU5xsozZyIqlrE5X-imhjfLZkS5hZXdqI693I9ERbGoUPs,EQD9iPdJ_MOz6Nj4EAeobl0_GHVsZwjdcb0Lts7aYdgYWeFC,-250.0
2024-10-30 17:00:37,EaNV/BgnwIatJM6Ir7QWmpqeOjYciNV3KWRCBv6DolA=,in,EQASCOqDVZN4w6XqEjyEfJfzwsufmQtMPpunh7mfjwbVzMVv,EQBU5xsozZyIqlrE5X-imhjfLZkS5hZXdqI693I9ERbGoUPs,1119.994111862
2024-10-28 13:54:11,m3WZOTxy+kdp+EA4erz7rhk8aHZiEiULSGdaUsdudxc=,out,EQBU5xsozZyIqlrE5X-imhjfLZkS5hZXdqI693I9ERbGoUPs,EQASCOqDVZN4w6XqEjyEfJfzwsufmQtMPpunh7mfjwbVzMVv,-1120.0
2024-10-28 13:37:34,VpiE/OOLJLBsa6lu3bxellb2AbUGKCuG6dUaG0bkoyE=,in,Ef_dJMSh8riPi3BTUTtcxsWjG8RLKnLctNjAM4rw8NN-xWdr,EQBU5xsozZyIqlrE5X-imhjfLZkS5hZXdqI693I9ERbGoUPs,2997.4875
