wallet,token_name,symbol,amount,decimals,mint
YWmErgPSqc6rshcibxtgeLxDhgfs88MuuuJobd8exRH,Unknown,N/A,10000.0,6,GREE1xhoGvX9wUBKNQNpu5PLWG57NtzmxSTEkKML6agV
YWmErgPSqc6rshcibxtgeLxDhgfs88MuuuJobd8exRH,Unknown,N/A,60.0,6,8doS8nzmgVZEaACxALkbK5fZtw4UuoRp4Yt8NEaXfDMb
YWmErgPSqc6rshcibxtgeLxDhgfs88MuuuJobd8exRH,Unknown,N/A,69420.0,6,3ktDq7QiBSXQ4m5orxFg45mkF36bk9DLZFL9YxsdvhDy
YWmErgPSqc6rshcibxtgeLxDhgfs88MuuuJobd8exRH,Unknown,N/A,989.415723,6,DtR4D9FtVoTX2569gaL837ZgrB6wNjj6tkmnX9Rdk9B2
YWmErgPSqc6rshcibxtgeLxDhgfs88MuuuJobd8exRH,Unknown,N/A,67.539111,6,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB
YWmErgPSqc6rshcibxtgeLxDhgfs88MuuuJobd8exRH,Unknown,N/A,80901477.0,0,6kjbKVTDRuJYspGPkBUisM2msu7PjHBmhbPkA5vFYVu4
YWmErgPSqc6rshcibxtgeLxDhgfs88MuuuJobd8exRH,Unknown,N/A,0.0,5,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5
YWmErgPSqc6rshcibxtgeLxDhgfs88MuuuJobd8exRH,Unknown,N/A,12863655.169128,6,9qM316yBYd14UHcdShr8Hch42tHCMAjbnzkUfdPyaynV
YWmErgPSqc6rshcibxtgeLxDhgfs88MuuuJobd8exRH,Unknown,N/A,3.2874,6,AMjzRn1TBQwQfNAjHFeBb7uGbbqbJB7FzXAnGgdFPk6K
YWmErgPSqc6rshcibxtgeLxDhgfs88MuuuJobd8exRH,Unknown,N/A,100.0,6,2Pp6ebUvEL9YRTauUTmGTwYZKRfyQXGM9jE4S8WPDtEy
YWmErgPSqc6rshcibxtgeLxDhgfs88MuuuJobd8exRH,Unknown,N/A,1.213816,6,FS66v5XYtJAFo14LiPz5HT93EUMAHmYipCfQhLpU4ss8
YWmErgPSqc6rshcibxtgeLxDhgfs88MuuuJobd8exRH,Unknown,N/A,25.000007,6,8AsPtJ9sCDQQwsJ6Jt3i9WF9zQcwQDT9dqwSkfvPsChP
YWmErgPSqc6rshcibxtgeLxDhgfs88MuuuJobd8exRH,Unknown,N/A,0.0,6,FJTF3MdzLhvbK2bZU7nah5mBosUtGbYzXJTibZGTpump
YWmErgPSqc6rshcibxtgeLxDhgfs88MuuuJobd8exRH,Unknown,N/A,0.0,6,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v
YWmErgPSqc6rshcibxtgeLxDhgfs88MuuuJobd8exRH,Unknown,N/A,2672032.38686,5,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,22876.454005619,9,DePvnNgbzJSHDG65bG962Sv7p8HqVMtHedPJCf8pcUtK
