date,transactionId,direction,token,feeToken,amount,amountFiat,feeFiat,walletFrom,walletTo,type
2025-07-24 13:51:13,V7Fn7BSbKx5oAko3Y7DrmHCEQTxeF8NYRwrvvfeUzho=,in,TON,TON,0.0,,0.002724813,,UQBU5xsozZyIqlrE5X-imhjfLZkS5hZXdqI693I9ERbGoR4p,transfer
2025-07-24 13:50:22,jiemaA+TJwgcwDnKi9NdVp26VCRiGNlJQsluHU3lIKc=,in,TON,TON,11392.029255,,0.000437637,EQBDUShg1UmAzyTVmGijDmeZJ_sTc8EJZNt1AO3N9pCrxPAN,UQBU5xsozZyIqlrE5X-imhjfLZkS5hZXdqI693I9ERbGoR4p,transfer
2025-07-22 16:52:49,Zi4pRBtx1WwkVhE68yY7AtGJLgIXxK7+pIWU4PMl1Ao=,in,TON,TON,0.0,,0.003155832,,UQBU5xsozZyIqlrE5X-imhjfLZkS5hZXdqI693I9ERbGoR4p,transfer
2025-07-02 09:29:22,knjh6EAqOykPGIJzlTY4nF31OyXYbhB7uU6oMCrGWSs=,in,TON,TON,0.0,,0.002335858,,UQBU5xsozZyIqlrE5X-imhjfLZkS5hZXdqI693I9ERbGoR4p,transfer
2025-07-02 06:09:20,ZuaIWosKVSsjee0ZfqI2on+Y7izCDnUlBvoL33dTe6U=,in,TON,TON,0.0,,0.006596871,,UQBU5xsozZyIqlrE5X-imhjfLZkS5hZXdqI693I9ERbGoR4p,transfer
2024-12-20 18:49:42,akS9zMwr+rznpvvEiQK9lMrs2Cx2O+66+BO8aeFv6gM=,in,TON,TON,0.0,,0.002715525,,UQBU5xsozZyIqlrE5X-imhjfLZkS5hZXdqI693I9ERbGoR4p,transfer
2024-12-20 18:28:30,kSu4D/VQDFWZfuC4qyTJC3ZGRML7U2JjFZNRXQYQj3M=,in,TON,TON,0.0,,0.002472187,,UQBU5xsozZyIqlrE5X-imhjfLZkS5hZXdqI693I9ERbGoR4p,transfer
2024-12-19 19:36:18,Cqr6ymUE6gI8UqJqvro878YEwJJMNIKsuUhr1q2f8ek=,in,TON,TON,1e-09,,1.21e-07,EQBGfJha2FDGIS8uGTNbyBEFhZzxQcEAIRsmQxaz1bwMyx82,UQBU5xsozZyIqlrE5X-imhjfLZkS5hZXdqI693I9ERbGoR4p,transfer
2024-12-19 19:28:27,WVYU0Kz5f7iJlygs4irWEJCTpMZWmxJuBfIAvDmkqd0=,in,TON,TON,1e-09,,2.5e-08,EQC0Sg4yrwnwNxS4W1fSiepsHTlpHeRKnThCt58SEpoP9vMV,UQBU5xsozZyIqlrE5X-imhjfLZkS5hZXdqI693I9ERbGoR4p,transfer
2024-12-19 19:26:52,cM3JtPrLb7RNaTGm2yTrx4QjE6x9Ef3yZxGgMpdoLqc=,in,TON,TON,0.0,,0.002478557,,UQBU5xsozZyIqlrE5X-imhjfLZkS5hZXdqI693I9ERbGoR4p,transfer
2024-12-18 13:38:09,i+AxpVZzszTWEvkfdMkUNowm6CkAY8AW0g7Z+/wvs3Y=,in,TON,TON,0.0,,0.003624318,,UQBU5xsozZyIqlrE5X-imhjfLZkS5hZXdqI693I9ERbGoR4p,transfer
2024-11-07 06:54:56,FqEIhLk42NfoQBRmKJvWCdl17emZvXpzhEKemM8ApU4=,in,TON,TON,0.0,,1.5e-08,EQD9YC22hShZXMGgH5jNtsN3ElSEw0TpAcVpFeAnaJ2eWeFC,UQBU5xsozZyIqlrE5X-imhjfLZkS5hZXdqI693I9ERbGoR4p,transfer
2024-11-07 06:53:58,QaK635aHBeymrGDHysDJNS19DKOtFkbv0hPDsfy2+iM=,in,TON,TON,0.0,,0.002499708,,UQBU5xsozZyIqlrE5X-imhjfLZkS5hZXdqI693I9ERbGoR4p,transfer
2024-10-30 17:00:37,EaNV/BgnwIatJM6Ir7QWmpqeOjYciNV3KWRCBv6DolA=,in,TON,TON,1119.994111862,,0.000356883,EQASCOqDVZN4w6XqEjyEfJfzwsufmQtMPpunh7mfjwbVzMVv,UQBU5xsozZyIqlrE5X-imhjfLZkS5hZXdqI693I9ERbGoR4p,transfer
2024-10-28 13:55:09,ZYtLOQ7Z5WmYZMOqbnW4scccIT2mhuIr2vFxPAdoXaY=,in,TON,TON,0.0,,1.5e-08,EQASHNN3twrXyvJ2LQpm7SxR217Y5XhhRpWx458WcgT-zMVv,UQBU5xsozZyIqlrE5X-imhjfLZkS5hZXdqI693I9ERbGoR4p,transfer
2024-10-28 13:54:11,m3WZOTxy+kdp+EA4erz7rhk8aHZiEiULSGdaUsdudxc=,in,TON,TON,0.0,,0.002336245,,UQBU5xsozZyIqlrE5X-imhjfLZkS5hZXdqI693I9ERbGoR4p,transfer
2024-10-28 13:38:13,wp/aRlLSEkjoLouWKiyrDRbLSB0Ixo6K/jp+2IFZI+4=,in,TON,TON,0.0,,1e-08,EQDYE7h17sJXs1-mdpGM9fkir7tjo09wTFaLXJadA4_2_-3v,UQBU5xsozZyIqlrE5X-imhjfLZkS5hZXdqI693I9ERbGoR4p,transfer
2024-10-28 13:37:34,VpiE/OOLJLBsa6lu3bxellb2AbUGKCuG6dUaG0bkoyE=,in,TON,TON,2997.4875,,0.001715157,Ef_dJMSh8riPi3BTUTtcxsWjG8RLKnLctNjAM4rw8NN-xWdr,UQBU5xsozZyIqlrE5X-imhjfLZkS5hZXdqI693I9ERbGoR4p,transfer
2024-08-29 15:48:33,Rmpn9hTWg1aaDKLEMUHBwSX8uO3XUgeBlbpQnlV3CgI=,in,TON,TON,0.0,,0.002926551,,UQBU5xsozZyIqlrE5X-imhjfLZkS5hZXdqI693I9ERbGoR4p,transfer
2024-08-02 16:27:11,gbS/U3DrtgJ//cFhM+OCEtIjQXFwnW2zFcd8CzYaRJ0=,in,TON,TON,0.0,,0.002373405,,UQBU5xsozZyIqlrE5X-imhjfLZkS5hZXdqI693I9ERbGoR4p,transfer
2024-07-31 20:10:58,cN474lf4uydRHpkOlodu2dNHwpIygkPmzY2eypzCc40=,in,TON,TON,7.8,,0.000310223,EQAa7h5h81VM8c1dvENIdbAjpjTbf-VxjXAStcWuqnPU1vVz,UQBU5xsozZyIqlrE5X-imhjfLZkS5hZXdqI693I9ERbGoR4p,transfer
2024-07-31 19:56:23,/NmhmvrKCoOxBjeGb7uuzkHkHdF4mRy0a8rjAPBh9Qs=,in,TON,TON,0.0,,0.002332886,,UQBU5xsozZyIqlrE5X-imhjfLZkS5hZXdqI693I9ERbGoR4p,transfer
2024-07-31 19:50:48,gj/UMX6dCiMzlsZsXN+ta1xvs6ef82MYHIhW7Wz5mbc=,in,TON,TON,472.815,,0.000418894,Ef_dJMSh8riPi3BTUTtcxsWjG8RLKnLctNjAM4rw8NN-xWdr,UQBU5xsozZyIqlrE5X-imhjfLZkS5hZXdqI693I9ERbGoR4p,transfer
2024-07-30 19:19:19,MkQrYkQm3TA7XdJgm0lZhps8TP3xBCM7YKUAjaXsKo8=,in,TON,TON,1e-09,,1.09e-07,EQDG-TOPN5PEZ0UaVpTEJepTlzpY85Ed1lSGIbeMI7fMMoNv,UQBU5xsozZyIqlrE5X-imhjfLZkS5hZXdqI693I9ERbGoR4p,transfer
2024-07-30 19:12:13,6ytUny5ILDK9fyYIlqScRp+ACwVL9LaBgb0L7wWuEko=,in,TON,TON,0.0,,0.002753621,,UQBU5xsozZyIqlrE5X-imhjfLZkS5hZXdqI693I9ERbGoR4p,transfer
2024-07-30 19:10:53,2/M1nABBmaE/3nNYsUqX2Rg5d3Vi2Lgy9meoARDJ+Ac=,in,TON,TON,0.0,,0.002753706,,UQBU5xsozZyIqlrE5X-imhjfLZkS5hZXdqI693I9ERbGoR4p,transfer
2024-07-30 19:03:59,/JSgWH69/vI6FfuS63QA0fNIluoLn0+NIGc6jPQ6ZTg=,in,TON,TON,0.0,,0.003174809,,UQBU5xsozZyIqlrE5X-imhjfLZkS5hZXdqI693I9ERbGoR4p,transfer
2024-06-22 13:02:23,yPhbokiKIxjP4rP2GzQy34i+mzBQRjMCxx/r7JBuISk=,in,TON,TON,1e-09,,0.000135818,EQDUzDrqjMfn4qacf5cu4GpffLQA386tKA4YToJ6lQ71e14w,UQBU5xsozZyIqlrE5X-imhjfLZkS5hZXdqI693I9ERbGoR4p,transfer
2024-06-16 08:57:39,sQb34s0tsmd/NUBUDEVaUdxsA1F7ovzTOFylrkGYrmQ=,in,TON,TON,0.0,,0.000156963,EQCgRDZRFT80DsZnEBc9I5OeMTFZWvKBSCICczQ5mNWYHZBf,UQBU5xsozZyIqlrE5X-imhjfLZkS5hZXdqI693I9ERbGoR4p,transfer
2024-06-09 05:49:39,0TrkEbgofOqQQImfDjlDCcXCXTtAN9van6by2MmsjH4=,in,TON,TON,1e-09,,3.6509e-05,EQAY2JIQ29IpnKfuAkoUxCAqS6i-9s6t5BT5Q3R73S6IOYwA,UQBU5xsozZyIqlrE5X-imhjfLZkS5hZXdqI693I9ERbGoR4p,transfer
2024-06-07 14:01:21,lOf7pdbZT0ZjqttmInbPhdiXl9k1nQotLvIADV4n2PU=,in,TON,TON,0.0,,1.07e-07,EQDNv5eJZJNPj4SdJpT21WNz0lnKtkEv-xrouHywctWkcuju,UQBU5xsozZyIqlrE5X-imhjfLZkS5hZXdqI693I9ERbGoR4p,transfer
2024-06-07 13:54:23,Lna7XOXYedSJniTwJsQa1CdAXJlC4uaOKGincYDxWPo=,in,TON,TON,0.0,,7.2e-08,EQBHi-EIiMrRuiCOTdJFt6onJFWiQVioe7jSaJ2tr8In5EUU,UQBU5xsozZyIqlrE5X-imhjfLZkS5hZXdqI693I9ERbGoR4p,transfer
2024-06-07 13:49:42,0ZawgtokRNN4lIZ/N8x0hSAN+ljZrTvhcNWArENHSuI=,in,TON,TON,0.0,,0.000156042,EQCRm3dAvnQpuOAbh06YpYC7y-oflkiEuaKf4n5Di8D262YI,UQBU5xsozZyIqlrE5X-imhjfLZkS5hZXdqI693I9ERbGoR4p,transfer
